Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
House,Stone,476 sq.m.,2,8+,2,No Renovation,,Gegharkunik › Sevan,"16,000,000 ֏",AMD,"The residential house is two-storey, with a basement, without interior decoration, with all the communal facilities.The area of the land is 2,485 square meters ․Garage: 178.1 sq. M.Code 4-46Translated from Armenian",Nov-24-2022_23-35,,3 or more spots,,,,https://list.am/en/item/15154530,,,,,,
House,Stone,220 sq.m.,1,5,2,Major Renovation,1000 sq.m.,Gegharkunik › Martuni,"$145,000",USD,"The house has all the communal facilities, it is capitally renovated, two bathrooms, sewerage system is built from both sides of the house, it works uninterrupted, there is deep water (buravo), there is also a water meter, 24-hour water supply, there are fruit trees in the plot. There are two garages next to it, there are bas-chulas almost on the surface of the house.Translated from Armenian",Nov-24-2022_23-35,By agreement,2 spots,,,,https://list.am/en/item/17695887,,,,,,
House,Stone,150 sq.m.,1,4,1,Old Renovation,1500 sq.m.,"2-nd street, Geghakar","$20,000",USD,"Arzni Charentsavan, Abovyan, for sale or exchange, 4560 meters of arable land. Gekhamasar village is located 2 km from Lake SvanaTranslated from Armenian",Nov-24-2022_23-35,Available,Not available,,,,https://list.am/en/item/17928186,,,,,,
House,Monolith,72 sq.m.,1,2,1,No Renovation,,"Nairyan 164, Sevan","$4,200",USD,"Garage, warehouse, workshop, workshop, 73 sq. M. + 36 sq. M. Nkux, the roof of the building and basement is reinforced concrete.Ownership Certificate:Translated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/13525965,,,,,,
Country House,Stone,120 sq.m.,1,4,1,Old Renovation,1620 sq.m.,Gegharkunik › Shoghakat,"10,000,000 ֏",AMD,"Own one-storey & nbsp; Private house on the shore of Lake Sanaa in Shorzha. The house consists of four rooms, a kitchen, utilities, which are located inside the house. There is a big open balcony in front of the house. The house is gasified, 2 gas stoves are installed, water heater, it is provided with constant water and electricity, the wires of which are changed.The house is located in the center of the plot, it has no common walls with the neighbors. In front of the house there is a large garden with fruit trees, at the back of the house there is a large plot of land for cultivation, provided with water. There is a big basement and a barn in the yard. An iron gate is installed, the door of the house is also made of iron. The house has a two-way entrance, so it can be sold partially or exchanged.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/17468908,,,,,,
House,Stone,200 sq.m.,2,4,1,Euro Renovation,800 sq.m.,"Mikayelyan street 33, Yerevan","$40,000",USD,"A two-story private house is for sale in Gavar city on Mikayelyan street.It has 4 separate bedrooms on the second floor. On the first floor there is a kitchen, a pantry and a spacious living room. There is a bakery and a cattle shed in the yard. There is gas, water and electricity. There is a large garage and 600 meters of land in the back of the house. I will negotiate with a real buyer.URGENT!It is also available for rent.Call to rent.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/17335238,,,,,,
House,Stone,112 sq.m.,1,3,1,Old Renovation,1100 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"3-room private house is for sale in Sjan. It has permanent water, electricity, gas, there is a heating system (cathol), the roof is tin, it has an orchard, a bakery 36 sq. M., a garage 34 sq. M., a basement, property.Translated from Armenian",Nov-24-2022_23-35,Available,Not available,,,,https://list.am/en/item/16768904,,,,,,
House,Stone,285 sq.m.,2,4,1,Cosmetic Renovation,,Gegharkunik › Gavar,"$30,000",USD,"A two-storey private house is for sale in the central part of Gavar, near the Orphanage Park. It has all the communal facilities, it is in good condition, the bathroom is tiled, it also has a big yard with fruit trees, a garage. Price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,Not available,,,,https://list.am/en/item/14114470,,,,,,
Country House,Cassette,80 sq.m.,1,3,1,Designer Renovation,400 sq.m.,Gegharkunik › Sevan,"$50,000",USD,"A 1-story, 3-room, modern summer house with its 400 square meter garden is for sale in Geghama summer house settlement on the shores of Lake Sevan. The summer house is located 60 km from Yerevan, 200 m from Lake Sevan. The summerhouse is gas-fired and furnished with Italian-made furniture and plumbing. It is equipped with constant hot and cold water supply, alarm and video surveillance systems. Gas boiler fitted with smart home features. Internet and satellite TV, 2 TVs are available. The garden has its own watering system with artesian water. There are pear, plum, apple, fir and decorative trees in the garden. Price negotiable.Translated from Armenian",Nov-24-2022_23-35,Available,Not available,,,,https://list.am/en/item/18070639,,,,,,
Country House,Stone,54 sq.m.,1,3,1,Euro Renovation,500 sq.m.,"Yerevanyan highway 3, Սևան","$25,000",USD,"The area is green, has closed and open parking, 2 satellite dishes, veranda, doors and windows of European production and networked, heated floor tiles, living room with open built-in kitchen, 2 bedrooms, bathroom with tiled kitchen, bathroom with kitchen. For sale one-bedroom cottage on the shore of Sevana with all amenities, 3 rooms with euro renovationTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17978910,,,,,,
House,Stone,300 sq.m.,2,8+,2,Old Renovation,6000 sq.m.,"Կոմիտասի փողոց 25, Մարտունի","$59,000",USD,"Two-story stone house, Martuni, 300 sq. M. , plot 6000m, with all utilitiesTranslated from Armenian",Nov-24-2022_23-35,Available,2 spots,,,,https://list.am/en/item/18292441,,,,,,
House,Stone,200 sq.m.,2,5,1,Old Renovation,800 sq.m.,"1st Street 3, Shorzha","$55,000",USD,"ПРОДАЕТСЯ ДОМ НА БЕРЕГУ ОЗЕРА СЕВАН (АРМЕНИЯ)Собственный 2-x эт. Дом 200 кв. М каждый этажНа 1- ом этаже 5 помещений + гаражНа 2- ом 5 комнатС хорошим климотомПриусадебный участок. , электричество, интернетвода, газ, фруктоввй сад, рядомАвто. Трасса, железная дорогаВозможно подстроить под отельПляж, один из лучших для купанияПродаем не дорого, в связи с переездом",Nov-24-2022_23-35,Not available,2 spots,,,,https://list.am/en/item/17406836,,,,,,
House,Stone,54 sq.m.,1,2,1,No Renovation,54 sq.m.,"Avanesov street 1st Lane, Yerevan","$5,000",USD,"For details, call Sasha at the mentioned phone numberTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17255576,,,,,,
Country House,Stone,73 sq.m.,1,3,1,Old Renovation,911 sq.m.,Gegharkunik › Artanish,"$12,000",USD,"My house is located in the village of Artanish, the next village is 8 km from Shorzha. It is a residential house with hot and cold water. The village is gasified, the house is not. It is the house in front of the village administration. It has fruit trees: Apricot, apple, pear, cherry, samorina and others. A large plot has 911 square meters and 2 cattle sheds, which serve as storage. The living area is 72.5 m. It is 1-2 km away from the Sevan coast. The price does not include the garage. I am willing to listen to trade offers.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18109162,,,,,,
Townhouse,Monolith,546 sq.m.,3,8+,3+,No Renovation,546 sq.m.,"Sayat Nova street, Sevan town","$68,000",USD,"A 3-storey building is for sale in Xi'an, it has the size of a semi-basement building, which was once intended as a parking lot, the building turns out to be a 4-storey building. It is possible to expand the area, there is a gas main right next to it, the water is drawn.It is very convenient for a hotel, a casino for different business plans, or for your own summer house.Of course, it is negotiable for a real buyer.The address on the map is wrong, the street is called LAPSNY STREET.Not to mention the beautiful view overlooking Lake Sanaa.Translated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/16225176,,,,,,
House,Stone,700 sq.m.,2,5,3+,Partial Renovation,,Gegharkunik › Sevan,"$40,000",USD,"A two stored house is for sale in Gomadzor district.Has a large orchard, a large garage.Price is negotiable, exchange is possible.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17869383,,,,,,
House,Stone,260 sq.m.,1,5,1,Major Renovation,30 sq.m.,Gegharkunik › Sevan,"$60,000",USD,"Basalt house, very good location, located 5 km from Sevan, has a garage of 10.5 mTranslated from Armenian",Nov-24-2022_23-35,Available,Not available,BArbecue oven,"AIr conditioner, fridge, stove, washing machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/16465078,,,,,,
House,Stone,220 sq.m.,2,7,1,Old Renovation,300 sq.m.,"Ազատության փողոց 17/2, Գավառ","$18,000",USD,"Nalbandyan 102 (gang district), a two-storey private house is for sale, it has a garage, a barn, an orchard (new), it is provided with constant water, gas and electricity. Urgent sale, the price is negotiable.Translated from Armenian",Nov-24-2022_23-35,By agreement,1 spot,,,,https://list.am/en/item/16066584,,,,,,
House,Stone,220 sq.m.,2,5,1,Major Renovation,300 sq.m.,"Zor. Andranik Str, Gavar","$22,000",USD,"A two stored house is for sale in Zargaryan 1, Gavar city. It has all the communal facilities for living, 6 rooms on the 2nd floor. He has a garage and a plot of land. It has cold and hot water. Urgent, the price is negotiable.Translated from Armenian",Nov-24-2022_23-35,By agreement,1 spot,,,,https://list.am/en/item/13357030,,,,,,
House,Stone,1500 sq.m.,1,5,1,Partial Renovation,1500 sq.m.,"Azgaldyan street, Vardenis","$8,000",USD,"Very urgent, own house for sale. In Pokr Masrik village of Vardenis. The house is 1500 sq. M. There is light and water, completely fenced. Document A separate plot of land next to the house is also given for the price. Fenced. Which document? 1400 square meters Urgent, very urgent. The pictures of the other house have a different price. That's for sale tooTranslated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/17546671,,,,,,
House,Stone,140 sq.m.,1,5,1,Partial Renovation,2400 sq.m.,Gegharkunik › Zolakar,"$24,000",USD,"The house is located in Zolakar village, near Astghadzor. 1 room is plastered, polished, the other rooms are only cut and not acquired. It has a basement, the roof is new. In the yard of the house there is 2400 meters (24 acres) of cultivated land with its fruit trees. It has a light, it has the opportunity to draw fragrant gas nearby. Price is negotiable.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/16939990,,,,,,
House,Stone,107 sq.m.,2,3,1,Old Renovation,2170 sq.m.,Gegharkunik › Chambarak,"$15,000",USD,"The residential house is located in the village of Aygut /formerly Golkend, Chambarak region, it is a place similar to the nature of Dilijan, it is possible to work as a guest house, 107.5 square meters residential house, with a plot of 2170 square meters, two-storey, made of tuff, it is possible to exchange with an equivalent car or a car + moneyTranslated from Armenian",Nov-24-2022_23-35,,Not available,,,,https://list.am/en/item/18007092,,,,,,
House,Stone,1300 sq.m.,1,3,1,No Renovation,,"Tumanyan street 37, Yerevan","$32,000",USD,"Վաճառվում է սեփական անանձնատուն Մարտունի քաղաքում: Ընդհանուր 13 սոտին հողամասով: Ապահովված է կոմունալ բոլոր հարմարություններով: Ունի գազ, լույս եւ կոյուղի: Շատ հարմար է քանդել եւ նոր խանութ կամ առանձանտուն կառուցել: Զանգահարել Հակոբին:",Nov-24-2022_23-35,Not available,1 spot,,,,https://list.am/en/item/13955849,,,,,,
Country House,Wooden,27 sq.m.,1,2,1,Euro Renovation,,Gegharkunik › Sevan,"$5,000",USD,"Summer house (Domik) for sale. With euro windows and door, New Chandeliers. It is capitally renovated. For questions call the mentioned number.The property is desirable with it.Price Negotiable.Very Urgent.Domik is located in Tsaghkunk villageTranslated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/17773851,,,,,,
House,Stone,360 sq.m.,2,8+,2,Euro Renovation,3000 sq.m.,Gegharkunik › Lchashen,"$40,000",USD,"A newly built two-story house with an area of 360 square meters, with a basement of 60 square meters, is for sale in the Lchashen village of Sevan, on the first line, the distance from the lake is about 300m. Can serve not only as a private house, but also as a business object - guest house or space for power solar panels, etc. The area of the plot is 3000 square meters, there are various types of fruit trees. The area is fenced with tuff stone, separately there is a 40 sq. M.The first floor of the house is renovated, ready for occupancy, the division and decoration of the rooms on the second floor are not completely finished / some parts are plastered, the floors are concreted-stjazhka- done /.It is equipped with gas, permanent water, electricity and local / own / sewerage. There is also a certain amount of building materials.Translated from Armenian",Nov-24-2022_23-35,Available,2 spots,,,,https://list.am/en/item/18214909,,,,,,
House,Wooden,20 sq.m.,1,2,1,Major Renovation,,Gegharkunik › Sevan,"14,000 ֏",AMD,"Hello dear visitor. A brand new wooden cottage is for daily rent on the banks of Sevan, in the forest of Yeghevni. The name of the cottage is ""Panorama"" (because part of the roof is made of glass)We have the ""Panorama"" cottage for 3 people with two beds and 3 separate beds.The cottage has a comfortable bathroom and a bathtub.The price is AMD 14,000 instead of AMD 35,000.Qotej Sevan, Shorja, cottage in the forest, Rent house on the beachPrice includes:1. Entrance to White Shorja2. Breakfast (for 3 persons)3. Fields (Football, Volleyball)4. Children's games5. Parking lot6. Pistols7. Music8. Evening bonfireWe also have other services:1. The restaurant2. Tents3. Horse riding4. Sailing5. Scooters6. Photo sessionWe look forward to your reservations.We are located on the shore of Lake Sevan, in the fir forest, near the village of Shorzha.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/17825933,,,,,,
House,Stone,160 sq.m.,2,5,1,Partial Renovation,1300 sq.m.,"Kamo Street, Martuni","$50,000",USD,"Urgent house for sale with 0.13 hectare land, in the territory of Martuni city bus station. Partial payment is possible with an initial prepayment of $ 25,000.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/16114123,,,,,,
House,Stone,120 sq.m.,1,4,1,Partial Renovation,,Gegharkunik › Gandzak,"$20,000",USD,"The apartment is in a good condition, Euro doors and windows, the kitchen is completely renovated, it also has a small yard where it is possible to park a car. The price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18204900,,,,,,
House,Stone,156 sq.m.,1,4,1,Old Renovation,866 sq.m.,Gegharkunik › Tsakkar,"$14,000",USD,Газ. Свет. Вода. Село ЦаккарTranslated from Armenian,Nov-24-2022_23-35,Not available,1 spot,,,,https://list.am/en/item/17169436,,,,,,
House,Stone,140 sq.m.,1,5,1,Old Renovation,1500 sq.m.,"Charents street, Sevan town","$73,900",USD,"The house is located in the city of Sevan, it has a large plot of land with productive trees.---The furniture is for sale in new condition.Has a fairly large garage.---Street - Charentsi 90---To know more, call the indicated numbers.Translated from Armenian",Nov-24-2022_23-35,,3 or more spots,,,,https://list.am/en/item/18117882,,,,,,
House,Stone,1234 sq.m.,1,2,1,Partial Renovation,,Gegharkunik › Artanish,"$23,000",USD,An apartment for sale in the village of Artanish.There is gasTranslated from Armenian,Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/17988723,,,,,,
Country House,Stone,60 sq.m.,1,4,1,Cosmetic Renovation,60 sq.m.,Gegharkunik › Sevan,"$7,500",USD,"For sale or exchange with a car, a 60 square meter building has 4 bedrooms in the Sevan basin.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/18062886,,,,,,
House,Stone,900 sq.m.,2,5,2,No Renovation,,"Sevan street, Yerevan","$65,000",USD,"Private house for sale in Xian city, in the central part. The total land is 900 square meters, on which two private houses are built, one of which is a new building, has a building on the road, which once served as a grocery store. The area is very convenient for business activities, for example, guest house, hotel or other activities.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.Code 0232Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/11484945,,,,,,
House,Stone,200 sq.m.,1,4,1,Partial Renovation,1000 sq.m.,Gegharkunik › Sevan,"$30,000",USD,"Продаётся дом стоимостью 30000$, 10соток. Адрес: Город Севан, улица Чаренца.",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15997933,,,,,,
House,Stone,100 sq.m.,1,3,1,Partial Renovation,,Gegharkunik › Vardenis,"$18,000",USD,"Total land area - 1460-m2, house - 100-m2, there is a tonratun - 100-m2, outdoor kitchen - 10-m2. The house is provided with gas, electricity, constant hot and cold water, all water խողով drainage pipes are changed, the house is partially renovated, there are big fruit trees, strawberries, raspberries, vines in the garden. The house is located in the center of Vardenis. Call for more information.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/8605053,,,,,,
House,Stone,120 sq.m.,1,4,1,Partial Renovation,,Gegharkunik › Sevan,"$20,000",USD,"Own house for sale in Drakhtik village, 3 km from Lake Sevan, total area 2000 square meters, productive trees, there is a garage and cattle shed.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18368666,,,,,,
Country House,Stone,240 sq.m.,2,6,2,No Renovation,600 sq.m.,"Նաիրյան փողոց 169, Սևան","$200,000",USD,"A half-built private house is for sale in Sevan, near Sevanalch. The total area of the house is 240 m *, the house has two floors, which has a wonderful view of Lake Sevan. Price $ 200,000 Which can be used as a hotelTranslated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/13856246,,,,,,
House,Stone,215 sq.m.,2,4,2,Cosmetic Renovation,675 sq.m.,Gegharkunik › Sevan,"35,000,000 ֏",AMD,"Private house in Tsamakaberd district of Sevan city. It is located near the lake, with a beautiful view, an orchard, a well-maintained road, with all utilities...It is possible to exchange with an apartment with your additional payment.Translated from Armenian",Nov-24-2022_23-35,By agreement,1 spot,,,,https://list.am/en/item/18079973,,,,,,
Country House,Stone,80 sq.m.,1,3,1,Euro Renovation,600 sq.m.,Gegharkunik › Sevan,"$23,000",USD,"Summer house for sale on the bank of Sevan, 30 meters from the water, with separate entrance, renovated in Euro, with furniture, all conditions are present, constant light, land leased for 100 yearsExchangedalso equivalent to the car or with an additional fee from me. I will listen to reasonable suggestions.Translated from Armenian",Nov-24-2022_23-35,Available,Not available,,,,https://list.am/en/item/18057746,,,,,,
House,Stone,1200 sq.m.,3,8+,2,Partial Renovation,,Gegharkunik › Gavar,"$60,000",USD,"3 հարկ, առանց ներքին հարդարման1200 մ. Հող.",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15396230,,,,,,
House,Stone,268 sq.m.,2,8+,1,Old Renovation,840 sq.m.,"Viktor Hambartsumyan street, Vardenis","$25,000",USD,"URGENTLY FOR SALEIt is provided with electricity, water, sewerage and natural gasTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16131499,,,,,,
House,Stone,120 sq.m.,2,3,1,Old Renovation,750 sq.m.,Gegharkunik › Gavar,"$55,000",USD,"A two stored house of 120 sq. M. Is for sale. Մ. In Gavar city, it has a garage, a bakery, a barn, a plot of land. The house is fully renovated, the bathroom is tiled.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16710672,,,,,,
House,Stone,260 sq.m.,1,5,1,Euro Renovation,1200 sq.m.,Gegharkunik › Gavar,"$30,000",USD,"Urgent sale of the house with its own plot of land with a garage and an additional building, which can be used for multi-purpose purposes.Large basement. The house has all the necessary facilities, a bathroom and a fully renovated bathroom. Only 1 room is not renovated. In short, a ready-to-live-in house.The house is in Karmirgyuh.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/18018331,,,,,,
House,Stone,36 sq.m.,1,1,1,Old Renovation,400 sq.m.,"Nairyan St, Sevan","$10,500",USD,"Own house for sale in Gagarin township of Sevan city. It is only 7 km away from Sevan. It is gasified, there is electricity. It has 400 square meters of land.I will exchange for a car at an equivalent price or less for an additional fee from you.Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/15682605,,,,,,
House,Stone,300 sq.m.,2,6,1,Old Renovation,3000 sq.m.,Gegharkunik › Jil,"$30,000",USD,"On the banks of Sevan, in the village of Jil, a private house is for sale, with its land for gardens and pastures (8 hectares) Call for details.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18232850,,,,,,
House,Stone,1450 sq.m.,2,8+,2,No Renovation,,Gegharkunik › Vardenis,"$27,000",USD,"Very urgently! ! ! A two-storey house with a plot of land is for sale at an affordable price. The total area is 1450 square meters, of which 300 square meters are residential.Has a built-in garage.• Ground floor: Two spacious living rooms, bathroom, kitchen and door to garage.• Second floor: 5 bedrooms, balcony ույց bathroom.Price is negotiableVardenis:Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/11488083,,,,,,
House,Monolith,3000 sq.m.,2,4,3+,Old Renovation,,"Sargis Sevanatsi St, Sevan","$9,500",USD,"2-storey house in paradise for saleIt has water, light, well and fruit treesTranslated from Armenian",Nov-24-2022_23-35,Available,2 spots,,,,https://list.am/en/item/12610470,,,,,,
Country House,Stone,300 sq.m.,2,8+,2,Old Renovation,,"Grigor Lusavorich street 12, Gavar boundary","$35,000",USD,Վաճառվում է սեփահան տուն Գավառում:Փոխանակում բնակարանի հետ Գավառռւմ ձեր կողմից հավելավճարով,Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/13203852,,,,,,
House,Stone,500 sq.m.,2,8+,2,Old Renovation,"10,000 sq.m.",Gegharkunik › Geghamavan,"$100,000",USD,"In Geghamavan village, Sevan city, Gegharkunik marz, RA, a large private house with permanent water, natural gas, garden and land.There is a large hall for 150-200 people, a garage, storerooms, a barn, a hayloft.It is suitable for living or organizing animal husbandry.Distance from Yerevan: 60 km, from Lake Sevan: 7 km.New paved road to the house.It is possible to rent or exchange with an apartment or house in Sevan or Yerevan.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/18118460,,,,,,
House,Stone,125 sq.m.,1,5,1,Old Renovation,400 sq.m.,Gegharkunik › Sevan,"$20,000",USD,Has a garage for 4 cars.He has a cattle barn.Has a plot of land with fruit trees.Those who wish can call the mentioned numbers via viber or whatsappPrice is negotiableAddress: Geghama 26Translated from Armenian,Nov-24-2022_23-35,,3 or more spots,,,,https://list.am/en/item/17177626,,,,,,
